[2026-04-25 15:30:39] [WAF_ALERT] Type: SQL_Injection | Payload: SELECT * FROM users
[2026-05-11 11:18:53] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: Tuyển dụng nhân viên CSKH làm việc tại văn phòng. Mức lương khởi điểm 10-15 triệu. Yêu cầu có laptop cá nhân và biết sử ...
[2026-05-11 11:19:11] [WAF_ALERT] Type: OWASP_LFI | Payload: ls -la; cat /etc/passwd && rm -rf /var/www/html
[2026-05-11 11:26:16] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: Tuyển dụng nhân viên CSKH làm việc tại văn phòng. Mức lương khởi điểm 10-15 triệu. Yêu cầu có laptop cá nhân và biết sử ...
[2026-05-11 11:32:36] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: Tuyển dụng nhân viên CSKH làm việc tại văn phòng. Mức lương khởi điểm 10-15 triệu. Yêu cầu có laptop cá nhân và biết sử ...
[2026-05-12 10:27:52] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: Tuyển dụng nhân viên CSKH làm việc tại văn phòng. Mức lương khởi điểm 10-15 triệu. Yêu cầu có laptop cá nhân và biết sử ...
[2026-05-12 10:37:53] [WAF_ALERT] Type: OWASP_XSS | Payload: <script>alert('XSS')</script>
[2026-05-12 11:24:51] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: Tuyển dụng nhân viên CSKH làm việc tại văn phòng. Mức lương khởi điểm 10-15 triệu. Yêu cầu có laptop cá nhân và biết sử ...
[2026-05-12 11:35:30] [WAF_ALERT] Type: OWASP_SQLi | Payload: Công ty công nghệ ABC tuyển Thực tập sinh IT. Không yêu cầu kinh nghiệm, sẽ được đào tạo. Vui lòng điền họ tên vào hệ th...
[2026-05-12 11:35:46] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: Tuyển dụng nhân viên CSKH làm việc tại văn phòng. Mức lương khởi điểm 10-15 triệu. Yêu cầu có laptop cá nhân và biết sử ...
[2026-05-13 11:38:35] [WAF_ALERT] Type: OWASP_SQLi | Payload: Tuyển dụng nhân viên CSKH làm việc tại văn phòng. Mức lương khởi điểm 10-15 triệu. Yêu cầu có laptop cá nhân và biết sử ...
[2026-05-13 11:41:25] [WAF_ALERT] Type: OWASP_RCE | Payload: Tớ vừa tìm thấy một khóa học lập trình Python cơ bản hoàn toàn miễn phí trên nền tảng của trường. Bạn nào quan tâm có th...
[2026-05-18 21:50:57] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: Thứ hai, 18/05/2026 # Luyện thi lớp 10 Podcast Tuần Việt Nam    Đăng nhập   Chính trị Thời sự Kinh doanh Dân tộc và Tôn ...
[2026-05-18 23:20:13] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/
[2026-05-19 08:22:31] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/
[2026-05-19 08:22:33] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/
[2026-05-19 08:22:43] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/
[2026-05-19 08:27:06] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:27:29] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:27:36] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:35:31] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:35:38] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:35:50] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:36:04] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:36:08] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 08:37:20] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/
[2026-05-19 08:37:32] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 09:05:25] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://siem.finova.one/#monitoring?caseId=6a0bc0d2e20b14b5c8d61ae3
[2026-05-19 09:18:02] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://redirect.zalo.me/v3/verifyv2/pc?token=OcVooDTmK0Df2_V8qHPGR6q3zhdH7bDiRGZ-kJ4tCm&continue=https%3A%2F%2Fcbjs-not...
[2026-05-19 09:19:22] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://siem.finova.one/
[2026-05-19 11:45:35] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 11:47:03] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-19 11:47:16] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 08:22:12] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://antigravity.google/g1-activity?utm_source=antigravity&utm_medium=web&utm_campaign=argon_settings_page_ai_credits...
[2026-05-20 08:28:21] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: [URL SCAN] https://nic.xyz/#
[2026-05-20 08:47:52] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:10:49] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:12:18] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:12:26] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:14:42] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:14:42] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:14:53] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:15:26] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:15:33] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:17:27] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:17:51] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:48:11] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:48:34] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:49:00] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://monica.im/uninstall-success?cid=30b25976-1c60-4e77-ae6d-c575989bad2b
[2026-05-20 09:50:14] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:50:16] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 09:50:24] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 10:16:51] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://nic.xyz/#
[2026-05-20 10:18:55] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: http://nlxh.com.vn/nlxh-de-xuat-giai-phap-khac-phuc-tinh-trang-lua-dao-qua-mang-internet/
[2026-05-20 10:23:40] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://siem.finova.one/#monitoring?caseId=6a0bc0d2e20b14b5c8d61ae3
[2026-05-20 10:46:13] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: http://casino-vietnam.tk/
[2026-05-20 10:46:14] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: http://casino-vietnam.tk/
[2026-05-20 10:46:16] [WAF_ALERT] Type: INSECURE_HTTP_PROTOCOL | Payload: http://casino-vietnam.tk/
[2026-05-20 10:46:46] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://www.bet88.casino/
[2026-05-20 23:16:26] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://huggingface.co/settings/tokens
[2026-05-20 23:40:14] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://huggingface.co/visolex/textcnn-spam-multiclass
[2026-05-20 23:53:42] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://huggingface.co/datasets/sonlam1102/vispamdetection2
[2026-05-20 23:55:56] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://huggingface.co/datasets?size_categories=size_categories%3A10K%3Cn%3C100K
[2026-05-20 23:56:00] [WAF_ALERT] Type: SUSPICIOUS_TLD_PHISHING | Payload: https://huggingface.co/datasets/sonlam1102/vispamdetection2
[2026-05-21 11:35:21] [WAF_ALERT] Type: SQL_Injection | Payload: SELECT * FROM users
